         434864648 function calls (411668625 primitive calls) in 430.676 seconds

   Ordered by: cumulative time
   List reduced from 3646 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1895774    6.827    0.000   15.730    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/reportviews.py:1109(__call__)
 13407622   12.235    0.000   15.421    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/reportviews.py:805(<genexpr>)
  684/522    0.007    0.000   15.330    0.029 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/util/deprecation.py:473(new_func)
    35/15    0.102    0.003   14.653    0.977 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/gradients_util.py:479(_GradientsHelper)
  1099152    0.931    0.000   14.328    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/reportviews.py:801(__len__)
 2801/242    0.010    0.000   13.836    0.057 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/gradients_util.py:321(_MaybeCompile)
 2801/242    0.006    0.000   13.827    0.057 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/gradients_util.py:669(<lambda>)
    70/15    0.009    0.000   13.349    0.890 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:710(_rewrite_forward_and_call_backward)
        2    0.000    0.000   12.632    6.316 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/util/deprecation.py:558(new_func)
        2    0.000    0.000   12.632    6.316 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/map_fn.py:610(map_fn_v2)
        2    0.000    0.000   12.632    6.316 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/map_fn.py:45(map_fn)
        2    0.000    0.000   12.618    6.309 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/control_flow_ops.py:2503(while_loop)
        2    0.000    0.000   12.615    6.307 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/while_v2.py:58(while_loop)
        2    0.000    0.000   12.550    6.275 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/while_v2.py:153(wrapped_body)
        2    0.000    0.000   12.548    6.274 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/ops/map_fn.py:463(compute)
  535/470    0.001    0.000   12.492    0.027 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:1430(forward)
      8/4    0.000    0.000   12.491    3.123 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:1163(forward)
      5/4    0.007    0.001   12.491    3.123 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:1349(_forward_and_backward_functions)
    16/13    0.007    0.000   12.480    0.960 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:868(_build_functions_for_outputs)
  4137984    7.522    0.000   11.904    0.000 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/data_structures/hash_weights.py:40(put)
        2    0.000    0.000   10.865    5.433 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/agents/ppo_agent.py:347(save_model)
        4    0.000    0.000   10.865    2.716 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/engine/training.py:1918(save)
        4    0.000    0.000   10.865    2.716 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/saving/save.py:47(save_model)
        4    0.028    0.007   10.865    2.716 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/saving/saved_model/save.py:40(save)
        4    0.003    0.001   10.814    2.703 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/saved_model/save.py:788(save)
32344/23557    0.224    0.000   10.705    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/func_graph.py:528(_create_op_internal)
        4    0.030    0.007   10.485    2.621 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/saved_model/save.py:1030(_build_meta_graph)
        1    0.000    0.000   10.363   10.363 /var/folders/lr/54zn1c0900q27mxk_htxw_zh0000gn/T/tmpmdxo6pqj.py:11(<lambda>)
14676/13970    0.837    0.000    9.872    0.001 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/op_def_library.py:299(_apply_op_helper)
